UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
11,Exp_20260319_141709,2,1.444,-4.37
11,Exp_20260319_141709,2,1.455,-4.29
11,Exp_20260319_141709,2,1.466,-4.20
11,Exp_20260319_141709,2,1.477,-4.13
11,Exp_20260319_141709,2,1.488,-4.01
11,Exp_20260319_141709,2,1.502,-3.84
11,Exp_20260319_141709,2,1.510,-3.68
11,Exp_20260319_141709,2,1.522,-3.44
11,Exp_20260319_141709,2,1.532,-3.33
11,Exp_20260319_141709,2,1.544,-3.23
11,Exp_20260319_141709,2,1.555,-3.15
11,Exp_20260319_141709,2,1.573,-3.04
11,Exp_20260319_141709,2,1.579,-2.86
11,Exp_20260319_141709,2,1.586,-2.56
11,Exp_20260319_141709,2,1.602,-2.25
11,Exp_20260319_141709,2,1.612,-2.10
11,Exp_20260319_141709,2,1.620,-1.92
11,Exp_20260319_141709,2,1.631,-1.86
11,Exp_20260319_141709,2,1.642,-1.82
11,Exp_20260319_141709,2,1.653,-1.85
11,Exp_20260319_141709,2,1.664,-1.89
11,Exp_20260319_141709,2,1.675,-1.86
11,Exp_20260319_141709,2,1.686,-1.84
11,Exp_20260319_141709,2,1.697,-1.82
11,Exp_20260319_141709,2,1.709,-1.81
11,Exp_20260319_141709,2,1.722,-1.80
11,Exp_20260319_141709,2,1.733,-1.79
11,Exp_20260319_141709,2,1.742,-1.75
11,Exp_20260319_141709,2,1.753,-1.67
11,Exp_20260319_141709,2,1.764,-1.43
11,Exp_20260319_141709,2,1.775,-1.26
11,Exp_20260319_141709,2,1.787,-1.07
11,Exp_20260319_141709,2,1.798,-0.77
11,Exp_20260319_141709,2,1.808,-0.57
11,Exp_20260319_141709,2,1.820,-0.29
11,Exp_20260319_141709,2,1.834,-0.07
11,Exp_20260319_141709,2,1.842,0.09
11,Exp_20260319_141709,2,1.853,0.22
11,Exp_20260319_141709,2,1.864,0.30
11,Exp_20260319_141709,2,1.875,0.37
11,Exp_20260319_141709,2,1.889,0.42
11,Exp_20260319_141709,2,1.897,0.39
11,Exp_20260319_141709,2,1.908,0.35
11,Exp_20260319_141709,2,1.920,0.30
11,Exp_20260319_141709,2,1.931,0.22
11,Exp_20260319_141709,2,1.945,0.18
11,Exp_20260319_141709,2,1.953,0.16
11,Exp_20260319_141709,2,1.964,0.16
11,Exp_20260319_141709,2,1.975,0.17
11,Exp_20260319_141709,2,1.987,0.21
11,Exp_20260319_141709,2,1.998,0.20
11,Exp_20260319_141709,2,2.009,0.19
11,Exp_20260319_141709,2,2.020,0.19
11,Exp_20260319_141709,2,2.032,0.14
11,Exp_20260319_141709,2,2.046,0.10
11,Exp_20260319_141709,2,2.054,0.06
11,Exp_20260319_141709,2,2.065,0.01
11,Exp_20260319_141709,2,2.077,-0.05
11,Exp_20260319_141709,2,2.088,-0.14
11,Exp_20260319_141709,2,2.099,-0.19
11,Exp_20260319_141709,2,2.110,-0.25
11,Exp_20260319_141709,2,2.121,-0.44
11,Exp_20260319_141709,2,2.132,-0.57
11,Exp_20260319_141709,2,2.144,-0.63
11,Exp_20260319_141709,2,2.157,-0.51
11,Exp_20260319_141709,2,2.165,-0.34
11,Exp_20260319_141709,3,0.011,50.00
11,Exp_20260319_141709,3,0.022,50.02
11,Exp_20260319_141709,3,0.033,50.03
11,Exp_20260319_141709,3,0.048,50.05
11,Exp_20260319_141709,3,0.055,50.07
11,Exp_20260319_141709,3,0.067,50.09
11,Exp_20260319_141709,3,0.078,50.12
11,Exp_20260319_141709,3,0.089,50.14
11,Exp_20260319_141709,3,0.103,50.16
11,Exp_20260319_141709,3,0.111,50.22
11,Exp_20260319_141709,3,0.122,50.26
11,Exp_20260319_141709,3,0.134,50.31
11,Exp_20260319_141709,3,0.148,50.34
11,Exp_20260319_141709,3,0.155,50.33
11,Exp_20260319_141709,3,0.167,50.32
11,Exp_20260319_141709,3,0.177,50.23
11,Exp_20260319_141709,3,0.189,50.15
11,Exp_20260319_141709,3,0.200,50.04
11,Exp_20260319_141709,3,0.211,49.88
11,Exp_20260319_141709,3,0.222,49.70
11,Exp_20260319_141709,3,0.233,49.41
11,Exp_20260319_141709,3,0.244,49.15
11,Exp_20260319_141709,3,0.258,48.93
11,Exp_20260319_141709,3,0.266,48.69
11,Exp_20260319_141709,3,0.278,48.42
11,Exp_20260319_141709,3,0.289,48.14
11,Exp_20260319_141709,3,0.300,47.83
11,Exp_20260319_141709,3,0.311,47.51
11,Exp_20260319_141709,3,0.322,47.17
11,Exp_20260319_141709,3,0.333,46.88
11,Exp_20260319_141709,3,0.344,46.61
11,Exp_20260319_141709,3,0.355,46.29
11,Exp_20260319_141709,3,0.370,45.98
11,Exp_20260319_141709,3,0.377,45.71
11,Exp_20260319_141709,3,0.389,45.39
11,Exp_20260319_141709,3,0.400,45.04
11,Exp_20260319_141709,3,0.414,44.82
11,Exp_20260319_141709,3,0.422,44.65
11,Exp_20260319_141709,3,0.433,44.42
11,Exp_20260319_141709,3,0.444,44.16
11,Exp_20260319_141709,3,0.455,43.84
11,Exp_20260319_141709,3,0.467,43.52
11,Exp_20260319_141709,3,0.481,43.20
11,Exp_20260319_141709,3,0.488,42.86
11,Exp_20260319_141709,3,0.500,42.41
11,Exp_20260319_141709,3,0.511,42.04
11,Exp_20260319_141709,3,0.522,41.62
11,Exp_20260319_141709,3,0.533,41.08
11,Exp_20260319_141709,3,0.544,40.59
11,Exp_20260319_141709,3,0.555,39.96
11,Exp_20260319_141709,3,0.570,39.27
11,Exp_20260319_141709,3,0.580,38.74
11,Exp_20260319_141709,3,0.588,38.13
11,Exp_20260319_141709,3,0.600,37.53
11,Exp_20260319_141709,3,0.611,36.97
11,Exp_20260319_141709,3,0.624,36.37
11,Exp_20260319_141709,3,0.633,35.95
11,Exp_20260319_141709,3,0.644,35.48
11,Exp_20260319_141709,3,0.655,35.03
11,Exp_20260319_141709,3,0.666,34.71
11,Exp_20260319_141709,3,0.678,34.35
11,Exp_20260319_141709,3,0.692,33.95
11,Exp_20260319_141709,3,0.700,33.66
11,Exp_20260319_141709,3,0.711,33.37
11,Exp_20260319_141709,3,0.724,33.13
11,Exp_20260319_141709,3,0.733,32.76
11,Exp_20260319_141709,3,0.744,32.40
11,Exp_20260319_141709,3,0.755,32.02
11,Exp_20260319_141709,3,0.767,31.59
11,Exp_20260319_141709,3,0.777,31.19
11,Exp_20260319_141709,3,0.789,30.76
11,Exp_20260319_141709,3,0.804,30.42
11,Exp_20260319_141709,3,0.810,30.08
11,Exp_20260319_141709,3,0.822,29.68
11,Exp_20260319_141709,3,0.833,29.07
11,Exp_20260319_141709,3,0.844,28.54
11,Exp_20260319_141709,3,0.855,28.01
11,Exp_20260319_141709,3,0.866,27.42
11,Exp_20260319_141709,3,0.880,26.86
11,Exp_20260319_141709,3,0.888,26.31
11,Exp_20260319_141709,3,0.900,25.84
11,Exp_20260319_141709,3,0.914,25.23
11,Exp_20260319_141709,3,0.921,24.68
11,Exp_20260319_141709,3,0.933,24.04
11,Exp_20260319_141709,3,0.944,23.57
11,Exp_20260319_141709,3,0.955,23.09
